	Id	Format	Size	Pts	Duration
745010	wnJ6LuUFpMo	243	160299.0	182.18200000000002	3.6289999999999996
745011	wnJ6LuUFpMo	134	191067.0	0.0	5.255
745012	wnJ6LuUFpMo	134	341251.0	5.255	5.422000000000001
745013	wnJ6LuUFpMo	134	305539.0	10.677	4.296
745014	wnJ6LuUFpMo	134	315928.0	14.972999999999999	4.963
745015	wnJ6LuUFpMo	134	358857.0	19.936	5.005
745016	wnJ6LuUFpMo	134	267855.0	24.941	4.671
745017	wnJ6LuUFpMo	134	282706.0	29.612	5.088
745018	wnJ6LuUFpMo	134	414408.0	34.7	5.4639999999999995
745019	wnJ6LuUFpMo	134	383051.0	40.164	5.255
745020	wnJ6LuUFpMo	134	389983.0	45.419	5.422000000000001
745021	wnJ6LuUFpMo	134	374295.0	50.841	4.171
745022	wnJ6LuUFpMo	134	391058.0	55.012	5.088
745023	wnJ6LuUFpMo	134	378460.0	60.1	4.671
745024	wnJ6LuUFpMo	134	335378.0	64.771	4.963
745025	wnJ6LuUFpMo	134	256987.0	69.734	5.005
